job_index,cell_index,cell,replicate,data_seed,fold_seed
569,2,weak_overlap,189,202609222189,202609322189
570,0,uniform,190,202609220190,202609320190
571,1,base,190,202609221190,202609321190
572,2,weak_overlap,190,202609222190,202609322190
573,0,uniform,191,202609220191,202609320191
574,1,base,191,202609221191,202609321191
575,2,weak_overlap,191,202609222191,202609322191
576,0,uniform,192,202609220192,202609320192
577,1,base,192,202609221192,202609321192
578,2,weak_overlap,192,202609222192,202609322192
579,0,uniform,193,202609220193,202609320193
580,1,base,193,202609221193,202609321193
581,2,weak_overlap,193,202609222193,202609322193
582,0,uniform,194,202609220194,202609320194
583,1,base,194,202609221194,202609321194
584,2,weak_overlap,194,202609222194,202609322194
585,0,uniform,195,202609220195,202609320195
586,1,base,195,202609221195,202609321195
587,2,weak_overlap,195,202609222195,202609322195
588,0,uniform,196,202609220196,202609320196
589,1,base,196,202609221196,202609321196
590,2,weak_overlap,196,202609222196,202609322196
591,0,uniform,197,202609220197,202609320197
592,1,base,197,202609221197,202609321197
593,2,weak_overlap,197,202609222197,202609322197
594,0,uniform,198,202609220198,202609320198
595,1,base,198,202609221198,202609321198
596,2,weak_overlap,198,202609222198,202609322198
597,0,uniform,199,202609220199,202609320199
598,1,base,199,202609221199,202609321199
599,2,weak_overlap,199,202609222199,202609322199
